"id","folder_name","hazard","magnitude","place","year","source","link","collector"
"1","EQ_BLDG_BING2003_DHUB_PD_1012_3145","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"2","EQ_BLDG_BING2003_DHUB_PD_1012_3162","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"3","EQ_BLDG_BING2003_DHUB_PD_1012_3163","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"4","EQ_BLDG_BING2003_DHUB_PD_1012_3165","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"5","EQ_BLDG_BING2003_DHUB_PD_1012_3170","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"6","EQ_BLDG_BING2003_DHUB_PD_1012_3171","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"7","EQ_BLDG_BING2003_DHUB_PD_1012_3172","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"8","EQ_BLDG_BING2003_DHUB_PD_1012_3174","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"9","EQ_BLDG_BING2003_DHUB_PD_1012_3175","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
"10","EQ_BLDG_BING2003_DHUB_PD_1012_3177","Earthquake","6.4 Mw","Bingol, Turkey ","2003","Data centerhub","https://datacenterhub.org/dv_dibbs/view/1012:dibbs/experiments_dv/","D.S. Akkar,  U. Akyuz,  V. Aydogan,  S. Bakir,  S. Bayili,  K.O. Cetin,  I. Erdem,  P. Gulkan,  G. Ozcebe,  R. Ulusay,  A. Turer,  S.T. Wasti,  A. Yakut,  B. Yalim,  L. Akin,  A. Bobet,  T. Gur,  A. Irfanoglu,  A. Johnson,  A. Matamoros,  A. Cihan Pay,  J.A. Ramirez,  M.A. Sozen"
